Bwd.IAT.Total,Avg.Fwd.Segment.Size,Fwd.Packet.Length.Mean,Init_Win_bytes_forward,Destination.Port,Fwd.Header.Length,Bwd.IAT.Max,Bwd.IAT.Std,Total.Length.of.Fwd.Packets,Subflow.Fwd.Bytes,Source.Port,Bwd.IAT.Mean,Fwd.Packet.Length.Max,Fwd.IAT.Total,Flow.Duration,Flow.Bytes.s,Flow.Packets.s,Down.Up.Ratio,ProtocolName,source_file
0.0,50.0,78.0,0,53,28,0.0,0.0,50,50,48428,0.0,78.0,0.0,8093.118667602539,21252.623007806746,247.12352334659008,1.0,INSTAGRAM,instagram2.pcap
0.0,49.0,77.0,0,53,28,0.0,0.0,49,49,11017,0.0,77.0,0.0,13844.013214111328,15746.878930871766,144.46677918230978,1.0,INSTAGRAM,instagram2.pcap
2321728.9447784424,244.23076923076923,285.7692307692308,65535,5222,540,1872253.8948059082,509996.25579752546,3175,3175,58282,193477.4120648702,3050.0,2343199.0146636963,2343323.9459991455,1931.0176929338859,11.095350279841114,1.0,INSTAGRAM,instagram2.pcap
0.0,88.0,116.0,0,53,28,0.0,0.0,88,88,44400,0.0,116.0,0.0,27138.948440551758,9138.15804408367,73.69482293615863,1.0,INSTAGRAM,instagram2.pcap
59896064.043045044,94.66666666666667,136.88888888888889,65535,443,380,59215550.899505615,19551969.708683643,852,852,33018,7487008.0053806305,552.0,998369.9321746826,60213667.86956787,91.7565761309875,0.298935451648466,1.0,INSTAGRAM,instagram2.pcap
656794.0711975098,270.5833333333333,312.25,65535,443,500,445523.0236053467,146598.53978935024,3247,3247,32948,82099.25889968872,1643.0,684415.8172607422,684630.8708190918,8198.578590656614,30.673463460500425,0.75,INSTAGRAM,instagram2.pcap
0.0,88.0,116.0,0,53,28,0.0,0.0,88,88,42251,0.0,116.0,0.0,25582.075119018555,11296.972534692775,78.17974072451747,1.0,INSTAGRAM,instagram2.pcap
62889158.01048279,229.92857142857142,271.35714285714283,65535,5222,580,62366595.02983093,17224245.178584766,3219,3219,38032,5240763.167540233,3094.0,548372.0302581787,62914780.85517883,73.25782490777937,0.4291519358884883,0.9285714285714286,INSTAGRAM,instagram2.pcap
8305733.919143677,212.0,240.0,0,443,812,4719449.996948242,378985.7333345201,6148,6148,39016,38099.69687680586,1280.0,8310343.980789185,8336093.902587891,31434.98658510189,29.750144719820142,7.551724137931035,INSTAGRAM,instagram2.pcap
61031570.19615173,293.45454545454544,335.27272727272725,65535,443,460,60800999.1645813,20097234.239808045,3228,3228,46154,7628946.274518967,1616.0,254948.13919067383,61055656.19468689,90.96618308859178,0.32756997871297,0.8181818181818182,INSTAGRAM,instagram2.pcap
0.0,40.0,68.0,0,53,28,0.0,0.0,40,40,29691,0.0,68.0,0.0,7970.094680786133,22082.548206646923,250.93804780280595,1.0,INSTAGRAM,instagram2.pcap
0.0,88.0,116.0,0,53,28,0.0,0.0,88,88,51021,0.0,116.0,0.0,25791.168212890625,9615.694719716019,77.54592515900015,1.0,INSTAGRAM,instagram2.pcap
63272159.814834595,94.66666666666667,136.88888888888889,65535,443,380,62749332.904815674,19699941.369796664,852,852,41662,7030239.979426066,552.0,781414.9856567383,63530082.9410553,87.5805562092908,0.2990709144458169,1.1111111111111112,INSTAGRAM,instagram2.pcap
0.0,88.0,116.0,0,53,28,0.0,0.0,88,88,57615,0.0,116.0,0.0,105090.85655212402,2949.8284643464017,19.03115138288001,1.0,INSTAGRAM,instagram2.pcap
0.0,40.0,68.0,0,53,28,0.0,0.0,40,40,52483,0.0,68.0,0.0,21324.872970581055,8253.273078944132,93.78719407891059,1.0,INSTAGRAM,instagram2.pcap
11877367.01965332,220.73333333333332,262.06666666666666,65535,443,620,11468032.121658325,3774052.1478734375,3311,3311,33588,1484670.877456665,552.0,11899473.905563354,11900579.929351807,487.11911809458746,2.016708441309315,0.6,INSTAGRAM,instagram2.pcap
0.0,49.0,77.0,0,53,28,0.0,0.0,49,49,4160,0.0,77.0,0.0,10471.105575561523,19673.185272888728,191.00179876590997,1.0,INSTAGRAM,instagram2.pcap
11865922.927856445,283.1818181818182,325.0,65535,5222,460,11315837.860107422,3535991.193660511,3115,3115,56344,1318435.8808729383,3094.0,11892052.88887024,11892192.840576172,355.1069223828191,1.7658644020931096,0.9090909090909091,INSTAGRAM,instagram2.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,19715,0.0,72.0,0.0,28424.978256225586,6860.163559044815,70.36065188763914,1.0,INSTAGRAM,instagram2.pcap
60378998.041152954,725.56,753.56,0,443,1400,51074016.09420776,7525488.040927001,36278,36278,32840,1341755.5120256213,1280.0,60283142.08984375,60409034.01374817,1065.3704541170632,1.5891662822840682,0.92,INSTAGRAM,instagram2.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,63780,0.0,61.0,0.0,15773.773193359375,10587.194195888755,126.79274486094317,1.0,INSTAGRAM,instagram2.pcap
275.8502960205078,0.0,50.0,65535,443,100,275.8502960205078,0.0,0,0,56536,275.8502960205078,60.0,27182.10220336914,27271.98600769043,6893.520697282034,146.6706531336603,1.0,INSTAGRAM,instagram2.pcap
116252104.99763489,169.7719298245614,197.7719298245614,0,443,1596,61749865.05508423,8361485.553541727,9677,9677,49292,1788493.9230405367,1280.0,116256553.88832092,116277501.82151794,159.16234619838687,1.057814263921845,1.1578947368421053,INSTAGRAM,instagram2.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,3660,0.0,61.0,0.0,6321.191787719727,28475.642892166106,316.396032135179,1.0,INSTAGRAM,instagram2.pcap
307.0831298828125,0.0,50.0,65535,443,100,307.0831298828125,0.0,0,0,56540,307.0831298828125,60.0,23095.130920410156,23205.995559692383,8101.354648474824,172.36924783988985,1.0,INSTAGRAM,instagram2.pcap
0.0,40.0,68.0,0,53,28,0.0,0.0,40,40,39572,0.0,68.0,0.0,10200.977325439453,18429.60669377834,196.05964567849296,1.0,INSTAGRAM,instagram2.pcap
104697061.06185913,300.90909090909093,342.72727272727275,65535,443,460,104433771.13342285,32810070.27491236,3310,3310,45168,11633006.784651015,1613.0,285750.8659362793,104719408.03527832,54.4502696012098,0.20053589295429775,0.9090909090909091,INSTAGRAM,instagram2.pcap
12516.021728515625,61.5,104.83333333333333,65535,443,260,7015.94352722168,2842.660224405166,369,369,34954,3129.0054321289062,409.0,228145.12252807617,228173.01750183105,4430.848182966624,48.20903067520561,0.8333333333333334,INSTAGRAM,instagram2.pcap
12387.990951538086,92.25,137.25,65535,443,180,11646.032333374023,5452.0368576049805,369,369,55090,6193.995475769043,409.0,219933.98666381836,220899.10507202148,3064.7475904407684,31.688675233508686,0.75,INSTAGRAM,instagram2.pcap
51141570.09124756,516.125,544.125,0,443,224,51067487.955093384,16885488.87363372,4129,4129,45508,6392696.261405945,1280.0,51315713.16719055,51348853.11126709,177.58916601779148,0.3310687380526873,1.125,INSTAGRAM,instagram2.pcap
51149125.09918213,516.0,544.0,0,443,224,51067716.121673584,16885219.323528823,4128,4128,52517,6393640.637397766,1280.0,51310958.14704895,51350540.16113281,177.5833315751986,0.33105786125434544,1.125,INSTAGRAM,instagram2.pcap
86449569.94056702,773.2142857142857,801.2142857142857,0,443,392,86224009.99069214,25859708.665308483,10825,10825,42775,8644956.994056702,1280.0,86451737.88070679,86482363.93928528,165.5250775759299,0.2890762793851378,0.7857142857142857,INSTAGRAM,instagram2.pcap
0.0,36.0,64.0,0,53,28,0.0,0.0,36,36,43885,0.0,64.0,0.0,11296.987533569336,14871.221155266658,177.03834708650783,1.0,INSTAGRAM,instagram2.pcap
223918.19953918457,884.0,912.0,0,443,476,114869.1177368164,36135.01928852017,15028,15028,36644,24879.799948798285,1280.0,214241.02783203125,262388.2293701172,70776.80292512012,102.90095735169045,0.5882352941176471,INSTAGRAM,instagram2.pcap
0.0,37.0,65.0,0,53,28,0.0,0.0,37,37,18632,0.0,65.0,0.0,22686.004638671875,7714.007062384396,88.16008071296451,1.0,INSTAGRAM,instagram2.pcap
0.0,40.0,68.0,0,53,28,0.0,0.0,40,40,5821,0.0,68.0,0.0,17585.99281311035,10690.32621575087,113.72687463564756,1.0,INSTAGRAM,instagram2.pcap
233901.9775390625,293.45454545454544,335.27272727272725,65535,443,460,177124.9771118164,59338.38209262127,3228,3228,58604,33414.56821986607,1616.0,273312.8070831299,273312.8070831299,20174.685770663065,69.51741560438852,0.7272727272727273,INSTAGRAM,instagram2.pcap
1227375.9841918945,304.2962962962963,332.2962962962963,0,443,756,539551.0196685791,98067.68815969476,8216,8216,43943,39592.7736836095,1280.0,1223829.0309906006,1266455.888748169,10829.433635905489,46.58669956386612,1.1851851851851851,INSTAGRAM,instagram2.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,62291,0.0,72.0,0.0,10305.88150024414,18921.23444223384,194.06394299727017,1.0,INSTAGRAM,instagram2.pcap
60276668.071746826,700.3175438596492,728.3175438596492,0,443,31920,4668802.02293396,229292.9602383502,798362,798362,60835,34983.55662898829,1280.0,60271173.95401001,60310141.08657837,38063.034817056134,47.48786768527996,1.512280701754386,INSTAGRAM,instagram3.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,60524,0.0,61.0,0.0,7408.14208984375,24297.590113285274,269.97322348094747,1.0,INSTAGRAM,instagram3.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,2114,0.0,72.0,0.0,9199.857711791992,21195.97999326198,217.39466659755877,1.0,INSTAGRAM,instagram3.pcap
60138049.12567139,610.8687664041995,638.8687664041995,0,443,10668,6324759.006500244,687621.9527112122,232741,232741,37594,191522.44944481333,1280.0,60170989.990234375,60170989.990234375,5089.312973738679,11.567035877471175,0.8267716535433071,INSTAGRAM,instagram3.pcap
0.0,40.0,68.0,0,53,28,0.0,0.0,40,40,14541,0.0,68.0,0.0,7758.140563964844,22685.848309772588,257.7937307928703,1.0,INSTAGRAM,instagram3.pcap
8276322.12638855,238.28571428571428,279.7142857142857,65535,443,580,8047472.00012207,2407158.479278463,3336,3336,36246,827632.212638855,1615.0,8304916.858673096,8305063.962936401,708.9650394357943,3.0102116144522517,0.7857142857142857,INSTAGRAM,instagram3.pcap
59454010.96343994,968.8088642659279,996.8088642659279,0,443,10108,10795141.220092773,1397202.8896752663,349740,349740,48919,487327.9587167208,1280.0,59437508.10623169,59483891.010284424,6361.386142923582,8.136656694437141,0.3407202216066482,INSTAGRAM,instagram3.pcap
0.0,37.0,65.0,0,53,28,0.0,0.0,37,37,12919,0.0,65.0,0.0,11198.043823242188,15627.729517969681,178.60262306251065,1.0,INSTAGRAM,instagram3.pcap
47460777.99797058,332.78080415045395,360.78080415045395,0,443,21588,11999247.789382935,153104.21013331183,256574,256574,59844,4335.109426193879,1280.0,47462376.832962036,47475657.93991089,290028.2712759356,246.86335078986792,14.201037613488975,INSTAGRAM,instagram3.pcap
0.0,50.0,78.0,0,53,28,0.0,0.0,50,50,31535,0.0,78.0,0.0,9951.114654541016,17284.495855096076,200.98250994297763,1.0,INSTAGRAM,instagram3.pcap
55078294.9924469,364.1004746835443,392.1004746835443,0,443,35392,8939586.877822876,121377.64372966677,460223,460223,54907,4276.929258615228,1280.0,55070545.91178894,55089278.93638611,295122.57763936056,256.7287187826784,10.189082278481013,INSTAGRAM,instagram3.pcap
