Bwd.IAT.Total,Avg.Fwd.Segment.Size,Fwd.Packet.Length.Mean,Init_Win_bytes_forward,Destination.Port,Fwd.Header.Length,Bwd.IAT.Max,Bwd.IAT.Std,Total.Length.of.Fwd.Packets,Subflow.Fwd.Bytes,Source.Port,Bwd.IAT.Mean,Fwd.Packet.Length.Max,Fwd.IAT.Total,Flow.Duration,Flow.Bytes.s,Flow.Packets.s,Down.Up.Ratio,ProtocolName,source_file
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,4864,0.0,81.0,0.0,8498.907089233398,24709.05938788678,235.32437512273123,1.0,YOUTUBE,youtube.pcap
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,22132,0.0,81.0,0.0,6391.048431396484,32858.45855405506,312.9377005148101,1.0,YOUTUBE,youtube.pcap
230523110.1512909,268.2142857142857,296.2142857142857,0,443,392,115205370.90301514,37115443.355163775,3755,3755,42370,13560182.950075936,1278.0,230500046.96846008,230530915.97557068,51.403083833041045,0.13881001541411928,1.2857142857142858,YOUTUBE,youtube.pcap
230520176.8875122,226.88235294117646,254.88235294117646,0,443,476,115211080.0743103,36202869.958016045,3857,3857,41399,12806676.493750678,1278.0,230493707.1800232,230524461.03096008,52.441289509734126,0.1561656400322962,1.1176470588235294,YOUTUBE,youtube.pcap
230495077.84843445,114.66298342541437,142.66298342541435,0,443,10136,115218259.09614563,3072640.719051794,41508,41508,47508,87707.41166226577,1278.0,230492090.94047546,230499451.87568665,14003.200327525225,12.97616968570108,7.262430939226519,YOUTUBE,youtube.pcap
0.0,54.0,82.0,0,53,28,0.0,0.0,54,54,5924,0.0,82.0,0.0,5608.081817626953,37980.90094379729,356.628177876031,1.0,YOUTUBE,youtube.pcap
19304.990768432617,244.93333333333334,272.93333333333334,0,443,420,7421.016693115234,2152.2890456253926,3674,3674,38694,1378.9279120309013,1278.0,45547.0085144043,45547.0085144043,255647.96415372856,658.6601618526157,1.0,YOUTUBE,youtube.pcap
0.0,31.0,59.0,0,53,28,0.0,0.0,31,31,58241,0.0,59.0,0.0,5872.011184692383,36444.07227252426,340.59880628527344,1.0,YOUTUBE,youtube.pcap
43089659.92927551,702.3377483443709,730.3377483443709,0,443,4228,9853086.948394775,1519986.0206571845,106053,106053,45550,402707.1021427618,1278.0,43180571.07925415,43222330.09338379,2911.7819360521926,5.992272962619527,0.7152317880794702,YOUTUBE,youtube.pcap
0.0,55.0,83.0,0,53,28,0.0,0.0,55,55,41340,0.0,83.0,0.0,6422.996520996094,33629.163474387526,311.381143281366,1.0,YOUTUBE,youtube.pcap
198953.15170288086,117.78873239436619,145.7887323943662,0,443,1988,116837.0246887207,7763.15005469217,8363,8363,39292,812.0536804199219,1278.0,204494.95315551758,204494.95315551758,1520702.5660115143,1550.1605057163576,3.464788732394366,YOUTUBE,youtube.pcap
0.0,32.0,60.0,0,53,28,0.0,0.0,32,32,30866,0.0,60.0,0.0,5897.998809814453,42048.160401002504,339.0980677500202,1.0,YOUTUBE,youtube.pcap
63531019.92607117,227.46666666666667,268.8,65535,443,620,62388346.910476685,14276242.817031452,3412,3412,41554,3529501.107003954,1064.0,1172856.092453003,63561254.97817993,198.01371140832057,0.5349170656191721,1.2666666666666666,YOUTUBE,youtube.pcap
0.0,35.0,63.0,0,53,28,0.0,0.0,35,35,34906,0.0,63.0,0.0,5678.892135620117,25004.877114908268,352.1813678156094,1.0,YOUTUBE,youtube.pcap
63205204.96368408,232.92857142857142,274.35714285714283,65535,443,580,62235276.93748474,16009366.797934575,3261,3261,49592,4514657.497406006,1064.0,988730.1921844482,63224076.986312866,184.66066341352007,0.4586860161877586,1.0714285714285714,YOUTUBE,youtube.pcap
0.0,55.0,83.0,0,53,28,0.0,0.0,55,55,14252,0.0,83.0,0.0,6121.158599853516,37737.95372750643,326.7355301082807,1.0,YOUTUBE,youtube.pcap
696229.2194366455,234.15384615384616,262.15384615384613,0,443,2548,342543.8404083252,20106.258954006888,21308,21308,37512,2006.424263506183,1278.0,698915.0047302246,701958.179473877,580322.3210609512,625.3933821656353,3.8241758241758244,YOUTUBE,youtube.pcap
167399.88327026367,346.1666666666667,374.1666666666667,0,443,336,110296.01097106934,31784.191536526683,4154,4154,38464,15218.171206387606,1278.0,165988.92211914062,192021.84677124023,74793.57292667724,124.98577845984221,1.0,YOUTUBE,youtube.pcap
0.0,43.0,71.0,0,53,28,0.0,0.0,43,43,51665,0.0,71.0,0.0,5390.88249206543,36914.1787625492,370.9967714829065,1.0,YOUTUBE,youtube.pcap
62379189.96810913,253.63636363636363,295.45454545454544,65535,443,460,61992714.88189697,17124296.950350948,2790,2790,40914,5198265.830675761,1064.0,408092.0219421387,62400892.97294617,252.76881865838627,0.3846098806695791,1.1818181818181819,YOUTUBE,youtube.pcap
157322.88360595703,455.3333333333333,483.3333333333333,0,443,252,110036.13471984863,32711.003598413212,4098,4098,48988,15732.288360595703,1278.0,155491.82891845703,178358.793258667,75129.46098803487,112.13352386273863,1.2222222222222223,YOUTUBE,youtube.pcap
0.0,31.0,59.0,0,53,28,0.0,0.0,31,31,9847,0.0,59.0,0.0,5833.864212036133,36682.37590420532,342.82594302995625,1.0,YOUTUBE,youtube.pcap
230562564.13459778,182.28571428571428,210.28571428571428,0,443,980,46781671.04721069,15082472.595405206,6380,6380,49377,6231420.652286426,1278.0,230571928.9779663,230590754.032135,154.49882259821734,0.31657817463846255,1.0857142857142856,YOUTUBE,youtube.pcap
0.0,1250.0,1278.0,0,443,168,0.0,0.0,7500,7500,46683,0.0,1278.0,4000150.9189605713,4000150.9189605713,1916.9276748169566,1.499943407525005,0.0,YOUTUBE,youtube.pcap
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,4193,0.0,81.0,0.0,46314.95475769043,4858.042098435593,43.18259643053861,1.0,YOUTUBE,youtube.pcap
198791952.84843445,248.375,276.375,0,443,3360,60305353.87992859,5325259.971144869,29805,29805,41574,516342.7346712583,1278.0,198797580.0037384,198797580.0037384,2381.925373493457,2.545302613796831,3.216666666666667,YOUTUBE,youtube.pcap
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,49616,0.0,81.0,0.0,8054.971694946289,26070.855113215923,248.29385822110405,1.0,YOUTUBE,youtube.pcap
832074.8805999756,68.9119170984456,96.9119170984456,0,443,5404,446887.0162963867,19188.57669953018,13300,13300,39278,1515.6190903460392,1278.0,851320.0283050537,851320.0283050537,826135.8556314667,872.7622695301615,2.849740932642487,YOUTUBE,youtube.pcap
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,38050,0.0,81.0,0.0,10641.098022460938,19734.805520702634,187.9505287685965,1.0,YOUTUBE,youtube.pcap
86738.82484436035,537.1578947368421,565.1578947368421,0,443,532,55879.831314086914,15760.121779997593,10206,10206,40539,7885.347713123669,1278.0,119508.98170471191,119508.98170471191,155904.6000913703,259.39472964966075,0.631578947368421,YOUTUBE,youtube.pcap
0.0,43.0,71.0,0,53,28,0.0,0.0,43,43,37002,0.0,71.0,0.0,4541.873931884766,45796.075170603675,440.34687664041996,1.0,YOUTUBE,youtube.pcap
383791.2082672119,186.41176470588235,214.41176470588235,0,443,952,113211.15493774414,24447.01937781941,6338,6338,43241,7832.473638106366,1278.0,376641.98875427246,408708.0955505371,141367.3979767198,205.52565734439514,1.4705882352941178,YOUTUBE,youtube.pcap
0.0,47.0,75.0,0,53,28,0.0,0.0,47,47,22595,0.0,75.0,0.0,20040.035247802734,8283.418564256312,99.8002236657387,1.0,YOUTUBE,youtube.pcap
63600221.87232971,171.28571428571428,214.14285714285714,65535,443,300,62982030.86853027,23426161.38045393,1199,1199,41548,10600036.978721619,658.0,681596.9944000244,63624269.96231079,114.40602783044697,0.22004181750601148,1.0,YOUTUBE,youtube.pcap
57722231.8649292,540.35,568.35,0,443,560,57306970.834732056,13477973.286020303,10807,10807,38791,3395425.4038193645,1278.0,57739700.07896423,57860991.95480347,282.1071580098431,0.6567464316837613,0.9,YOUTUBE,youtube.pcap
0.0,41.0,69.0,0,53,28,0.0,0.0,41,41,29831,0.0,69.0,0.0,27177.095413208008,7432.729544078815,73.59138162454272,1.0,YOUTUBE,youtube.pcap
333164.93034362793,669.8095238095239,697.8095238095239,0,443,588,115051.9847869873,28642.263863512726,14066,14066,37000,17534.996333875155,1278.0,352227.21099853516,453138.1130218506,62656.393677993095,90.48014020842902,0.9523809523809523,YOUTUBE,youtube.pcap
0.0,31.0,59.0,0,53,28,0.0,0.0,31,31,41372,0.0,59.0,0.0,23226.97639465332,9213.42478521058,86.10677369355683,1.0,YOUTUBE,youtube.pcap
1147412262.916565,879.1145975443384,907.1145975443384,0,443,20524,89335685.01472473,7520298.529472571,644391,644391,48295,1071346.650715747,1278.0,1147419502.9735565,1147444520.9503174,1523.7791179236501,1.5730608034147855,1.4624829467939973,YOUTUBE,youtube.pcap
3498387.8135681152,411.35714285714283,439.35714285714283,0,443,392,3312726.0208129883,777000.9192572082,5759,5759,44756,205787.51844518326,1278.0,3496411.085128784,3521565.9141540527,5688.0945830065,9.086866689441765,1.2857142857142858,YOUTUBE,youtube.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,24963,0.0,72.0,0.0,6603.002548217773,24231.40061382921,302.8925076728651,1.0,YOUTUBE,youtube.pcap
1037009405.8513641,126.05660377358491,154.0566037735849,0,443,2968,115041318.89343262,30641606.070945777,13362,13362,41313,8863328.255139865,1278.0,1037013018.1312561,1037039716.0053253,51.954615786116456,0.21599944201061796,1.1132075471698113,YOUTUBE,youtube.pcap
1036807113.8858795,214.15384615384616,242.15384615384616,0,443,728,115196043.01452637,50327370.89111655,5568,5568,43207,29623060.396739416,1278.0,1036775667.9058075,1036812614.9177551,10.618119264369952,0.059798655135883096,1.3846153846153846,YOUTUBE,youtube.pcap
1045421659.9464417,118.94159292035398,146.94159292035397,0,443,31640,115191355.94367981,2553370.3104126267,134404,134404,47876,75931.26524886997,1278.0,1045426694.8699951,1045426980.0186157,16804.839874791796,14.251593162187852,12.184955752212389,YOUTUBE,youtube.pcap
1036794964.0750885,147.51685393258427,175.51685393258427,0,443,7476,115197205.06668091,6357656.843756528,39387,39387,49482,393470.57460155163,1278.0,1036800087.928772,1036802482.1281433,3129.353040648869,2.7999547165833314,9.872659176029963,YOUTUBE,youtube.pcap
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,3137,0.0,81.0,0.0,6440.877914428711,32604.2509716824,310.51667592078473,1.0,YOUTUBE,youtube.pcap
44389955.99746704,580.1363636363636,608.1363636363636,0,443,616,43814194.91767883,8930264.197843261,12763,12763,37964,1929998.086846393,1278.0,44368328.09448242,44394819.97489929,539.274627389776,1.036156921595994,1.0909090909090908,YOUTUBE,youtube.pcap
0.0,31.0,59.0,0,53,28,0.0,0.0,31,31,60745,0.0,59.0,0.0,6422.0428466796875,33322.73002673002,311.4273834273834,1.0,YOUTUBE,youtube.pcap
153264348.03009033,681.9611650485436,709.9611650485436,0,443,2884,79765164.1368866,9273650.55193426,70242,70242,39343,1741640.3185237537,1278.0,153264932.15560913,153387452.12554932,536.3280950299923,1.2517321158894137,0.8640776699029126,YOUTUBE,youtube.pcap
0.0,29.0,57.0,0,53,28,0.0,0.0,29,29,64640,0.0,57.0,0.0,19682.884216308594,11482.05707640874,101.61112456998886,1.0,YOUTUBE,youtube.pcap
94652498.960495,120.32,161.12,65535,443,1020,61141534.80529785,11774456.486932553,3008,3008,37826,2868257.5442574243,1064.0,33537952.89993286,94679556.84661865,694.0569029748987,0.6231545854780488,1.36,YOUTUBE,youtube.pcap
0.0,54.0,82.0,0,53,28,0.0,0.0,54,54,61847,0.0,82.0,0.0,5779.027938842773,36857.40962911011,346.0789636536161,1.0,YOUTUBE,youtube.pcap
2722810.983657837,153.97297297297297,181.97297297297297,0,443,2072,2610434.055328369,152760.17825794645,11394,11394,39748,9356.738775456484,1278.0,2719798.0880737305,2744451.0459899902,134841.53799744975,133.36000309962714,3.945945945945946,YOUTUBE,youtube.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,9604,0.0,61.0,0.0,9362.220764160156,30334.68310074361,213.6245288784761,1.0,YOUTUBE,youtube.pcap
88105991.12510681,469.44444444444446,497.44444444444446,0,443,1260,80241620.06378174,11816101.002711227,21125,21125,45951,1957910.9138912624,1278.0,88094408.03527832,88133078.09829712,379.6531418394486,1.0325294652537307,1.0222222222222221,YOUTUBE,youtube.pcap
0.0,54.0,82.0,0,53,28,0.0,0.0,54,54,55681,0.0,82.0,0.0,9555.816650390625,22290.08862275449,209.29660678642713,1.0,YOUTUBE,youtube.pcap
0.0,1250.0,1278.0,0,443,168,0.0,0.0,7500,7500,46270,0.0,1278.0,3997256.04057312,3997256.04057312,1918.3159452804466,1.5010296911427594,0.0,YOUTUBE,youtube.pcap
144842.86308288574,81.45454545454545,109.45454545454545,0,443,3388,26197.195053100586,949.4160407846575,9856,9856,38120,146.15828767193315,1278.0,152536.86904907227,152536.86904907227,8321450.465799502,7296.596599487953,8.198347107438016,YOUTUBE,youtube.pcap
0.0,43.0,71.0,0,53,28,0.0,0.0,43,43,44978,0.0,71.0,0.0,6274.938583374023,29801.088491204075,318.7282191572628,1.0,YOUTUBE,youtube.pcap
1011439208.0307007,85.21794871794872,113.21794871794872,0,443,4368,90097139.12010193,10214331.94774188,13294,13294,38169,2142879.6780311456,1278.0,1011431904.0775299,1011461476.0875702,539.9187343371634,0.6218724240818664,3.032051282051282,YOUTUBE,youtube.pcap
0.0,47.0,75.0,0,53,28,0.0,0.0,47,47,57502,0.0,75.0,0.0,17361.879348754883,9561.176913253044,115.1949025693138,1.0,YOUTUBE,youtube.pcap
63394082.06939697,143.14285714285714,186.0,65535,443,300,63096863.985061646,23492724.85085851,1002,1002,41736,10565680.344899496,557.0,361309.0515136719,63419390.2015686,111.685085231627,0.22075267446601413,1.0,YOUTUBE,youtube.pcap
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,7277,0.0,81.0,0.0,6986.141204833984,30059.512661251792,286.2810729643028,1.0,YOUTUBE,youtube.pcap
263587116.0030365,82.029251363411,110.029251363411,0,443,56476,33035403.966903687,411688.134513312,165453,165453,41641,13066.97977409461,1278.0,263589361.90605164,263592399.83558655,98150.80789938295,84.18300381134213,10.001487357461576,YOUTUBE,youtube.pcap
0.0,29.0,57.0,0,53,28,0.0,0.0,29,29,9712,0.0,57.0,0.0,12588.024139404297,17953.572180764422,158.8811697412781,1.0,YOUTUBE,youtube.pcap
324386912.8227234,49.445205479452056,89.58219178082192,65535,443,5860,62143408.77532959,6019501.536957991,7219,7219,43444,1467814.0851706942,1064.0,262271150.1121521,324414598.941803,2146.121050874464,1.134350923788161,1.5205479452054795,YOUTUBE,youtube.pcap
